#water_vapour=f(CIBR)=square(b0*log10(CIBR)+b1)
#CIBR=Band_in_WV/Band_out_WV
#Sentinel 2-> CIBR= Band_9/Band_8A
#WV[g/cm2]
surface_reflectance;sun_zenith;view_zenith;azimuth;ground_altitude;b0;b1
0.05;0;20;90;1.0;-2.70344581375;-0.116599623265
0.05;0;20;90;1.5;-2.84451929525;-0.150073551074
0.05;0;20;90;2.0;-2.92162817374;-0.162077480957
0.05;0;20;90;3.0;-2.93131220885;-0.145626952955
0.05;0;20;90;4.0;-3.12086864186;-0.17277932305
0.05;0;20;125;0.0;-2.71151667999;-0.140935712106
0.05;0;20;125;0.5;-2.67439688078;-0.12022163454
0.05;0;20;125;1.0;-2.71768396869;-0.122703262391
0.05;0;20;125;1.5;-2.82049080738;-0.141953136826
0.05;0;20;125;2.0;-2.92105274946;-0.159495489002
0.05;0;20;125;3.0;-2.95564893454;-0.14638488776
0.05;0;20;125;4.0;-3.09938812066;-0.169613270236
0.05;0;20;180;0.0;-2.67836409095;-0.129392700616
0.05;0;20;180;0.5;-2.67399621021;-0.120620042794
0.05;0;20;180;1.0;-2.73306701868;-0.125585298701
0.05;0;20;180;1.5;-2.81917525099;-0.138343511625
0.05;0;20;180;2.0;-2.92139608435;-0.163473483588
0.05;0;20;180;3.0;-2.93168748827;-0.146393863615
0.05;0;20;180;4.0;-3.08556880081;-0.161637713517
0.05;15;0;0;0.0;-2.70483233874;-0.135304087438
0.05;15;0;0;0.5;-2.6947514779;-0.121000903461
0.05;15;0;0;1.0;-2.75594373914;-0.130403123072
0.05;15;0;0;1.5;-2.85852160027;-0.1487752238
0.05;15;0;0;2.0;-2.95269280842;-0.167751751674
0.05;15;0;0;3.0;-2.96128043462;-0.152418430853
0.05;15;0;0;4.0;-3.14746130849;-0.175907322257
0.05;15;0;45;0.0;-2.6799339437;-0.124425425397
0.05;15;0;45;0.5;-2.69896546992;-0.122647388389
0.05;15;0;45;1.0;-2.73564221095;-0.125593662859
0.05;15;0;45;1.5;-2.83108261413;-0.14308262549
0.05;15;0;45;2.0;-2.92619491851;-0.16226128977
0.05;15;0;45;3.0;-2.9727403156;-0.158158207194
